Column,"Total equity
Shs’000
8,853,178
4,234,334"
"- - 876,505 - -
- - (260,107) - -","876,505
(260,107)"
,"616,398"
"- - (43,480) 43,480 -
- - 13,044 (13,044) -","-
-"
,-
,"616,398"
,"-
42,879
(4,600,000)
(350,000)
-"
,"(4,950,000)"
,"8,796,789"
,"8,126,922
4,976,256"
"- - (43,163) 43,163 -
- - 12,949 (12,949) -","-
-"
,"-
(3,900,000)
(350,000)
-"
,"(4,250,000)"
,"8,853,178"
