Mandated plans,Components
Denial of Site,"Premises recovery
Loss of key staff
Information Digital Technology (IDT) remote working plan"
Crisis Management,"Crisis management structure
Crisis communications"
IT Service Continuity (ITSC),IT service continuity
Supply Chain,"Finished goods contingency sourcing plan
Wrapping materials sourcing plan
Primary supply chain
Secondary supply chain"
Manufacturing,Manufacturing recovery plan
Product recall,Product recall plan
Pandemic Plan,Pandemic plan
Security Plans,"Civil disorder (Evacuation plan)
Natural event management plan"
