"BAT Kenya
Material Topic",BAT Kenya targets & goals,Metrics,"BAT Kenya’s
performance",Column,Column
,,,2024,2023,2022
Environmental management,,,,,
Climate Change,"50% reduction in Scope 1
and 2 GHG emissions by
20304 (vs 2020 baseline)
50% renewable energy use
by 20304",Scope 1 CO2e emissions (tonnes CO2e),"2,991","3,113","5,959"
,,Scope 2 CO2e emissions (Market - based) (tonnes CO2e),773,697,962
,,"Scope 1 & Scope 2 CO2e emissions (Market - based)
(tonnes)","3,765","3,811","6,921"
,,Energy consumption (MWh),"17,597","19,421","25,330"
,,Renewable energy consumption (MWh),"1,340","1,271",474
,,Renewable energy as a % of energy consumption,7.6%,6.5%,1.9%
"Circular
Economy","25% reduction in waste
from our operations by
2025 (vs 2017 baseline)",Waste generated (tonnes),"1,152","1,524","1,572"
,"90% recycling rate of total
waste generated by 2025",% of waste recycled,98.5%,97.8%,97.9%
,"<1% waste to landfill by
2025",Waste sent to landfill (tonnes),0,0,0
Water,"30% of water recycled by
2025",% of total water recycled,36.6%,20.5%,13.7%
,"35% reduction in water
withdrawn by 2025 vs 2017
baseline",Total water withdrawn (cubic meters),"27,312","35,404","44,494"
,"100% operations sites
Alliance for Water
Stewardship (AWS)
certified by 2025",% of operations sites AWS certified,100%,100%,100%
,"Soil & water management
practices in our tobacco
supply chain","% of tobacco hectares reported to have appropriate best
practice on soil management implemented",67%,64%,67%
,,Total water withdrawn (M3),"30,828","28,246","34,266"
"Biodiversity and
ecosystems","100% of wood used by
our contracted farmers
as curing fuel to be from
sustainable sources","% of sustainable wood fuel sources used by our
contracted farmers for curing tobacco",100%,100%,71%
