Column,2022,Column
,KShs’ 000,
"17
17
17
18
16","1,000,000",
,23,
,204,
,"2,799,711",
,"7,382,009",
,"5,200,000",
,"16,381,947",
"27
19",,
,"13,544",
,"2,070,569",
,"2,084,113",
,"18,466,060","16,913,108"
"20(a)
19",,
,"11,935,486",
,"160,336",
,"12,095,822",
"22
28
23
24
25
20(b)",,
,"3,631,737",
,"512,962",
,"5,034,078",
,"2,772",
,"2,368,003",
,"301,670",
,"11,851,222",
"26
27
24
28
30",,
,"5,064,163",
,"22,716",
,"4,848",
,-,
,"389,257",
,"5,480,984",
,"6,370,238","4,608,053"
,"18,466,060","16,913,108"
