New amendments or interpretation,"Effective for annual periods
beginning on or after"
"Non-current Liabilities with Covenants – Amendments to IAS 1 and
Classification of Liabilities as Current or Non-current – Amendments to IAS 1",1 January 2024
Lease Liability in a Sale and Leaseback – Amendments to IFRS 16,1 January 2024
Supplier Finance Arrangements – Amendments to IAS 7 and IFRS 7,1 January 2024
Lack of Exchangeability – Amendments to IAS 21,1 January 2025
"Sale or Contribution of Assets between an Investor and its
Associate or Joint Venture – Amendments to IFRS 10 and IAS 28","Available for optional
adoption/effective
date deferred indefinitely"
