2023
KShs’ 000
"2,637,718"
"2,637,718"
"(188,903)"
"5,506"
"(183,397)"
"2,454,321"
"8,022,338
2,406,701"
"(15,337)"
"60,096"
"5,506"
"(2,645)"
"2,454,321"
