Column,Column,KShs’ 000,KShs’ 000,KShs’ 000,KShs’ 000,KShs’ 000,KShs’ 000,Column
,,"1,000,000",23,204,"2,799,711","7,382,009","5,200,000",
,,-,-,-,-,"5,568,017",-,
"Transfer of excess depreciation
Deferred income tax on transfer",,"-
-","-
-","-
-","(54,302)
16,291","54,302
(16,291)","-
-","-
-"
,,,,,"(38,011)","38,011",,
"Hedge fair value gain through P&L
Hedge fair value (loss) through OCI
Deferred tax in respect of fair value
gain through OCI",,"-
-
-","-
-
-","(291)
87","-
-
-","-
-
-","-
-
-","-
(291)
87"
,,-,-,(204),-,-,-,
,"16
16
16","-
-
-","-
-
-","-
-
-","-
-
-","-
(500,000)
(4,500,000)","(5,200,000)
-
-
4,500,000",
,,-,-,-,-,"(5,000,000)","(700,000)",
,,"1,000,000",23,-,"2,761,700","7,988,037","4,500,000","16,249,760"
