Column,"Attended/Eligible
to attend",Column
Director,Scheduled,Ad hoc
Rita Kavashe,4/5,2/2
Crispin Achola,5/5,2/2
Philemon Kipkemoi,5/5,2/2
Dr. Martin Oduor-Otieno,5/5,2/2
Peter Mwangi*,4/5,1/2
Samuel Onyango,5/5,2/2
Dr. Macharia Irungu,3/5,1/2
Marion Gathoga-Mwangi,4/5,2/2
Andre Joubert**,2/5,2/2
Paul Muthaura,4/5,2/2
Phyllis Wakiaga,5/5,1/2
