2024,Column,Column,Column,Column,Column,Column,Column
Average rates,134.82,172.26,145.88,9.40,0.89,-,-
Closing rates,129.29,162.27,134.29,6.87,0.82,-,-
,"140.07
156.46","174.18
199.80","151.46
173.78",,,,
