"2,149,262","(31,820)",Column
"(1,009,428)
(13,241)
(14,168)
(1,424)
-","43,665
(35,509)
23,249
-
1","-
-
-
(14,755)
-"
"(1,038,261)","31,406","(14,755)"
"1,111,001",(414),"(14,755)"
