Leadership Readiness,Certification and Partnership,Corporate Enablers
"Sr Women in Leadership – Global
training (+2 nominations in 2021)","Partnership with Kenya Business
Disability Network under the
Federation of Kenya Employers",Women in BAT Forum
"Jr Women in Leadership– developed
locally (+30 female talents)","Top Employers – 2nd place Kenya in 2021
& 2020; 4 years in a row Top employer
in Africa",D&I Dashboard for monitoring
"Unconscious Bias - 100% managerial
population trained in 2021","The National Diversity and Inclusion
Awards & Recognition - 1st runners up in
the award category for most inclusive
listed companies - by Daima Trust",D&I Policies Review
"Diversity Talks and International
Women’s Day","Partnership with ANDY – people with
disabilities agenda and 30% Club –
fostering female in senior levels",Work environment adjustments
