Year ended 31 December 2019,Column,Column,Column,Column,Column
Opening net book amount,"4,093,265","4,533,599","187,858","282,691","9,097,413"
"Recognition of right-of-use assets on initial application
of IFRS 16","46,161","117,942","103,478",-,"267,581"
Adjusted balance at 1 January 2019,"4,139,426","4,651,541","291,336","282,691","9,364,994"
Additions,"28,198","229,403","120,720","1,111,076","1,489,397"
Disposals/impairment,,,,,
Cost,"(113,115)","(739,634)","(229,675)",-,"(1,082,424)"
Accumulated depreciation,"71,543","582,668","223,079",-,"877,290"
Depreciation charge,"(101,027)","(337,588)","(112,776)",-,"(551,391)"
Transfers,"7,346","70,292",204,"(77,842)",-
Closing net book amount,"4,032,371","4,456,682","292,888","1,315,925","10,097,866"
At 31 December 2019,,,,,
Cost or valuation,"5,233,255","9,846,350","1,206,845","1,315,925","17,602,375"
Accumulated depreciation,"(1,200,884)","(5,389,668)","(913,957)",-,"(7,504,509)"
Net book amount,"4,032,371","4,456,682","292,888","1,315,925","10,097,866"
,"3,865,537
-
(189,054)
57,875
(91,819)
450,726","4,839,377
828
(669,650)
419,596
(348,669)
292,117","172,907
33,823
(26,186)
25,498
(76,025)
57,841","256,072
827,303
-
-
-
(800,684)",
,"4,093,265","4,533,599","187,858","282,691",
,"5,264,665
(1,171,400)","9,684,178
(5,150,579)","1,212,118
(1,024,260)","282,691
-",
,"4,093,265","4,533,599","187,858","282,691",
