"5,347,667","3,969,533","414,094","2,204,192"
"4,246
3,977
-
(118,288)
112,070
53,929
(13,549)","110,568
-
(185,939)
(390,038)
222,863
-
-","175,350
7,357
(164)
(190,303)
97,669
-
-","149,198
-
-
-
(432,602)
-
-"
"5,390,052","3,726,987","504,003","1,920,788"
"6,951,732
(1,561,680)","10,117,437
(6,390,450)","1,731,638
(1,227,635)","1,920,788
-"
"5,390,052","3,726,987","504,003","1,920,788"
