Name,Meetings Attended,Meetings Eligible to Attend
Mr G. Maina,1,1
Mr E. Mwaniki1,1,1
Dr J. Ciano2,0,0
Mr G. Fagan2,1,1
Mr C. Burrell4,0,0
Mr P. Lopokoiyit,1,1
