Stakeholder,Why we engage,How we engage
Employees,"It is important and essential that our employees are
fully engaged and aligned with our values, strategy and
objectives to deliver sustained superior results and business
sustainability. Additionally, BAT seeks to attract and retain
top talent aided by regular, inclusive and transparent
engagement with our workforce.","· Townhalls
· Training events
· Speak up channels
· Employee intranet and internal forums
· Employee volunteering forums
· Employee listening tools: Your Voice Survey
· Policies"
Shareholders,"We ensure that shareholders have the required information
on the management and performance of the Business in a
timely manner and facilitate effective feedback processes.","· Annual General Meetings
· Annual reporting
· Media announcements
· Electronic communications/meetings
· Website"
"Government
and regulators","Transparent engagement with government and regulators
is key to how we conduct our business.","· Meetings
· Regulatory fillings
· Strategic events
· Public policy submissions"
Consumers,"For us to provide adult tobacco and nicotine consumers
with a greater choice of innovative and less risky* products,
we engage our consumers within the confines of our
regulatory remits","· Product information on packaging
· Consumer helpline
· Product analysis"
Farmers,"Our contracted tobacco farmers are valued business
partners. We strive to ensure transparency in our
interactions and engagement.","· One-on-one meetings or conversations
· Trainings and workshops
· Field visits
· Grievance mechanism
· Sustainable tobacco programs and assessments."
Suppliers,"Our suppliers are essential to an efficient and productive
business. We thus ensure effective relationship
management, including transparent engagements with
our suppliers.","· Supplier review and audits
· Supplier voice survey and dialogue
· Strategic partnerships"
"Customers
(distributors,
wholesalers and
retailers)","Our customers are key to the implementation of our
responsible marketing practices, tobacco control
compliance and driving business growth.","· Contract discussion and account management
· Business to business programmes
· Sales calls and visits by trade representatives
· Audits and performance reviews
· Customer voice survey"
