2022,Column,Column,Column
Balance as at 1st January,"1,366","38,112","39,478"
Additions to right-of-use assets,"9,072","11,627","20,699"
Depreciation charge for the year,"(2,399)","(25,395)","(27,794)"
Derecognition of right-of-use assets,-,971,971
Balance as at 31st December,"8,039","25,315","32,354"
