Material topic,Impact Areas
Harm Reduction,"· Consumer choice
· World class science"
Environmental management,"· Climate change
· Water stewardship
· Biodiversity and ecosystems
· Circular economy
· Sustainable agriculture"
Farmer livelihoods and communities,"· Growing complementary crops
· Improve agricultural productivity
· Building community resilience
· Supporting farmers to improve"
"People, diversity and culture","· Human rights
· Employee wellbeing
· Health and safety
· Diversity and inclusion
· Value and supply chain integrity
· Employee development"
Ethics and compliance,"· Business ethics
· Responsible sales and communication
· Sustainability governance"
