Salary,Column,Taxable benefits,Column,"Short-term
incentives",Column,"Long-term
incentives",Column,Pension,Column,Total
KShs’ 000,,KShs’ 000,,KShs’ 000,,KShs’ 000,,KShs’ 000,,
2022,2021,2022,2021,2022,2021,2022,2021,2022,2021,2022
"13,600","13,061","3,633","3,072","9,588","2,211","5,094",-,"1,224",588,"33,139"
"9,028","8,380","2,357","1,816","3,894","3,086","2,952","3,087",812,754,"19,043"
"22,628","21,441","5,990","4,888","13,482","5,297","8,046","3,087","2,036","1,342","52,182"
