Salary,Column,"Taxable
benefits",Column,"Short-term
incentives",Column,"Long-term
incentives",Column,Pension,Column,Column
KSh’000,,KSh’000,,KSh’000,,KSh’000,,KSh’000,,
2021,2020,2021,2020,2021,2020,2021,2020,2021,2020,2021
-,"19,162",-,"8,614",-,"7,037",-,"18,032",-,"2,723",-
"13,061",-,"3,072",-,"2,211",-,-,-,588,,"18,932"
-,"4,826",-,813,-,"1,573",-,"2,043",-,434,-
"8,380","5,339","1,816","1,151","3,086","1,766","3,087","1,294",754,480,"17,124"
"21,441","29,327","4,888","10,578","5,297","10,376","3,087","21,369","1,342","3,637","36,056"
