Column,"2023
KShs’ 000"
"6
7
8
9
10","41,249,470
(15,691,919)
25,557,551
(14,984,177)
(1,450,285)
(1,412,052)
214,746"
11,"7,925,783
96,555"
"12
14","8,022,338
(2,454,321)"
,"5,568,017
-
204"
,"5,568,221"
,55.68
