KSh’000,Column,KSh’000,Column,KSh’000,Column,Column
2019,2018,2019,2018,2019,2018,2019
"3,549","3,483",300,350,"2,500","2,500","6,349"
"1,299","1,881",175,325,-,-,"1,474"
"1,917","1,881",225,225,-,-,"2,142"
691,"1,881",50,175,-,-,741
-,887,-,50,-,-,-
"1,917","1,881",175,175,-,-,"2,092"
"1,917","1,881",200,275,-,-,"2,117"
958,-,100,-,-,-,"1,058"
958,-,125,-,-,-,"1,083"
"13,206","13,775","1,350","1,575","2,500","2,500","17,056"
