At 31 December 2022,"Less than 1 year
KShs’ 000","Between 1 & 3 years
KShs’ 000"
Liabilities,,
Borrowings,"22,716","15,074"
Trade and other payables,"3,395,837",-
Amounts due to related parties,"884,599",-
Derivative financial instruments,"4,848",-
Total financial liabilities,"4,308,000","15,074"
Assets,,
Cash and bank balances,"2,368,003",-
Amounts due from related parties,"2,992,102",-
Trade and other receivables,"1,320,808",-
Derivative financial instruments,"2,772",-
Total financial assets,"6,683,685",-
