Name,Meetings Attended,Meetings Eligible to Attend
Mr E. Mwaniki1 (Chairman),2,2
Mr G. Maina2 (Chairman),0,0
Mr G. R. May,2,2
Mr G. Fagan3,1,1
Dr J. Ciano4,1,1
Mr A. N. Ngugi5,1,1
Mr C. Burrell6,1,1
Ms R. T. Ngobi (Company Secretary),2,2
