BAT Kenya Corporate Governance Factsheet,Column
Size of Board including Company Secretary,8
Number of independent Directors,5
Number of women on the Board,2
Separate Chairman and CEO,Yes
Terms of Reference for Board Committees,Yes
Independent Audit Committee,Yes
Number of Financial Experts on Audit Committee,1
Number of Independent Remuneration Committee members,2
Number of Independent Nominations Committee members,3
Number of Board and Annual General Meetings Held in Full Year 2013,5
Re-election of Directors in accordance with Articles of Association,Yes
Annual Board Evaluation,Yes
Individual Director Evaluations,Yes
Corporate Governance Guidelines Approved by Board,Yes
Standards of Business Conduct,Yes
Board Induction Programs Conducted,Yes
