Year ended 31 December 2018,Column,Column,Column,Column,Column
Opening net book amount,"3,865,537","4,839,377","172,907","256,072","9,133,893"
Additions,-,828,"33,823","827,303","861,954"
Disposals/impairment,,,,,
Cost,"(189,054)","(669,650)","(26,186)",-,"(884,890)"
Accumulated depreciation,"57,875","419,596","25,498",-,"502,969"
Depreciation charge,"(91,819)","(348,669)","(76,025)",-,"(516,513)"
Transfers,"450,726","292,117","57,841","(800,684)",-
Closing net book amount,"4,093,265","4,533,599","187,858","282,691","9,097,413"
At 31 December 2018,,,,,
Cost or valuation,"5,264,665","9,684,178","1,212,118","282,691","16,443,652"
Accumulated depreciation,"(1,171,400)","(5,150,579)","(1,024,260)",-,"(7,346,239)"
Net book amount,"4,093,265","4,533,599","187,858","282,691","9,097,413"
,"3,944,211
10,636
-
-
(89,310)
-","4,950,730
183,392
(13,658)
13,250
(594,715)
300,378","229,382
36,128
(40,806)
40,618
(96,566)
4,151","399,476
161,125
-
-
-
(304,529)",
,"3,865,537","4,839,377","172,907","256,072",
,"5,002,993
(1,137,456)","10,060,883
(5,221,506)","1,146,640
(973,733)","256,072
-",
,"3,865,537","4,839,377","172,907","256,072",
