Purpose and link to strategy,Mechanics of reward
"Attract and retain high calibre
individuals to deliver the
Company’s strategic plans by
offering market competitive
remuneration to reflect an
individual’s skills and experience.","Paid in 12 equal monthly
instalments during the year
and is pensionable.
Reviewed annually with
salary changes effective
from April depending on
performance"
"Provide competitive
post-retirement benefit
arrangements so as to attract
and retain high calibre talent to
drive delivery of Group strategy.",9% of base salary
"Provide market competitive
benefits which:
facilitate the attraction and
retention of high calibre
talent to deliver the Group’s
strategic plans; and
recognise that such talent
is global in source and that
the availability of certain
benefits are key enablers for
attraction and retention.","Range of benefits include:
Car allowance, driver and
domestic allowance
Medical insurance
Personal life and accident
insurance
Security
Education allowances
For international assignees
additional benefits include:
Travel allowance
Housing allowance
Relocation expense
Tax advice and
Tax equalization payments"
