Group - 31 December 2021,USD,GBP,EUR,AED
,KSh’ 000,KSh’ 000,KSh’ 000,KSh’ 000
Assets,,,,
Receivables and prepayments,"2,354,464","14,770","1,532","227,450"
Cash and cash equivalents,"631,657","12,927","19,993",-
,"2,986,121","27,697","21,525","227,450"
Liabilities,,,,
Payables and accrued expenses,"(713,670)","(11,465)","(97,603)",-
,"(713,670)","(11,465)","(97,603)",-
,"2,525,522","20,438","30,822",
,"453,855","3,858","11,993",
,"2,979,377","24,296","42,815",
,"(508,088)","(52,208)",-,
,"(508,088)","(52,208)",-,
