As at 31 December 2024 - Company,Column,Column,Column,Column
Aging bucket,"Loss
rate","Carrying
amount","Loss
allowance","Credit
impaired"
,,KShs’ 000,KShs’ 000,
Current,0.10%,"1,158,200","1,082",No
0–30 days past due,0.12%,"1,314",2,No
31–90 days past due,0.12%,344,-,No
90–180 days past due,0.16%,-,-,No
Items over 6 months but within 12 months,0.18%,-,-,No
Items over 12 months,0.20%,"2,915",6,Yes
,"Loss
rate","1,162,773","1,090",
,,"Carrying
amount
KShs’ 000","Loss
allowance
KShs’ 000",
,"0.10%
0.12%
0.14%
0.16%
0.18%
0.20%","2,111,825
-
-
-
248,644","1,762
-
-
-
248,644",
,,"2,360,469","250,406",
