Column,Column,KShs’ 000,KShs’ 000,KShs’ 000,KShs’ 000,KShs’ 000,KShs’ 000,Column
,,"1,000,000",23,"(15,383)","2,837,183","6,152,545","5,000,000",
,,-,-,-,-,"6,891,992",-,
"Transfer of excess depreciation
Deferred income tax on transfer",14,"-
-","-
-","-
-","(53,531)
16,059","53,531
(16,059)","-
-","-
-"
,,,,,"(37,472)","37,472",,
"Hedge fair value gain through P&L
Hedge fair value (loss) through OCI
Deferred tax in respect of fair value gai
through OCI",n,"-
-
-","-
-
-","22,268
-
(6,681)","-
-
-","-
-
-","-
-
-","22,268
-
(6,681)"
,,,,"15,587",,,,
,"16
16
16","-
-
-","-
-
-","-
-
-","-
-
-","(500,000)
(5,200,000)","(5,000,000)
-
5,200,000",
,,-,-,-,-,"(5,700,000)","200,000",
,,"1,000,000",23,204,"2,799,711","7,382,009","5,200,000",
