RESOLUTION,FOR,AGAINST,ABSTAIN
Ordinary Business,,,
"1) To receive, consider and if approved, adopt the Company’s audited Financial Statements for the year
ended 31 December 2023, together with the reports of the Chairperson, Directors and Auditor thereon.",,,
"2) To confirm the interim dividend of KShs 5/- per ordinary share paid on 22 September 2023 and to
approve a final dividend for the year ended 31 December 2023, of KShs 45/- per ordinary share to be
paid net of Withholding tax on 26 June 2024, to shareholders on the Register at the close of business
on 24 May 2024.",,,
"3) Election of Directors:
a) To re-elect Paul Muthaura who retires at this meeting in accordance with Article 101 of the
Articles of Association, having been appointed by the Board after the last Annual General Meeting
and being eligible, offers himself for re-election as a Director.",,,
"b) To re-elect Phyllis Wakiaga who retires at this meeting in accordance with Article 101 of the Articles
of Association having been appointed by the Board after the last Annual General Meeting, and
being eligible, offers herself for re-election as a Director.",,,
"c) To re-elect Samuel Onyango who retires at this meeting by rotation in accordance with the
provisions of Article 102 of the Company’s Articles of Association and being eligible, offers himself
for re-election as a Director.",,,
"d) To re-elect André Joubert who retires at this meeting by rotation in accordance with the provisions
of Article 102 of the Company’s Articles of Association and being eligible, offers himself for
re-election as a Director.",,,
"4) To re-elect the following Directors, being members of the Board Audit & Risk Committee, to continue
to serve as members of the said Committee: Dr. Martin Oduor-Otieno, Samuel Onyango, Marion
Gathoga-Mwangi and Paul Muthaura.",,,
"5) To approve the remuneration of Directors and the Directors Remuneration Report for the year ended
31 December 2023.",,,
"6) To re-appoint Messrs. KPMG Kenya as External Auditor of the Company by virtue of Section 721(2) of
the Companies Act 2015 and to authorise the Directors to fix their remuneration for the year ending 31
December 2024.",,,
