At 31 December 2023,"Less than 1 year
KShs’ 000","Between 1 & 3 years
KShs’ 000"
Liabilities,,
Borrowings,"12,065",-
Trade and other payables,"2,615,969",-
Amounts due to related parties,"650,455",-
,,-
Total financial liabilities,"3,278,489",-
Assets,,
Cash and bank balances,"1,820,556",-
Amounts due from related parties,"4,003,735",-
Trade and other receivables,"611,042",-
Derivative financial instruments,"3,136",-
Total financial assets,"6,438,469",-
