Shareholding,No. of shareholders,No. of shares,% Shareholding
Lessthan 500,"2,621","666,519",0.66%
"501 -5,000","2,404","3,969,699",3.97%
"5,001-10,000",220,"1,607,211",1.61%
"10,001 - 100,000",224,"7,066,269",7.07%
"100,001 - 1,000,000",36,"9,570,620",9.57%
"Above 1,000,000",5,"77,119,682",77.12%
Total,"5,510","100,000,000",100.00%
