KSh’000,Column,KSh’000,Column,KSh’000,Column,KSh’000,Column,KSh’000,Column,Column,Column
2020,2019,2020,"2019
9,150",2020,"2019
9,909",2020,2019,2020,"2019
2,816",2020,2019
"19,162","19,004","8,614",,"7,037",,"18,032","20,814","2,723",,"55,568","61,694"
"4,826","9,833",813,"2,059","1,573","5,392","2,043","6,252",434,885,"9,690","24,421"
"5,339",-,"1,151",-,"1,766",-,"1,294",-,480,-,"10,030",-
"29,327","28,837","10,578","11,210","10,375","15,301","21,370","27,065","3,638","3,701","75,288","86,115"
