2019,Column,Column,Column,Column
Balance as at 1st January,"46,161","117,942","103,478","267,581"
Additions to right-of-use assets,"5,673",-,"45,981","51,654"
Depreciation charge for the year,"(1,207)",(706),"(28,187)","(30,100)"
Derecognition of right-of-use assets,-,"(117,236)","(6,485)","(123,721)"
Balance as at 31st December,"50,627",-,"114,787","165,414"
