Salary,Column,Taxable benefits,Column,"Short-term
incentives",Column,"Long-term
incentives",Column,Pension,Column,Total
KShs’ 000,,KShs’ 000,,KShs’ 000,,KShs’ 000,,KShs’ 000,,
2024,2023,2024,2023,2024,2023,2024,2023,2024,2023,2024
"15,419","14,648","3,983","2,863","7,410","6,976","5,235","6,154","1,388","1,318","33,435"
"11,187","10,140","1,982","1,986","4,201","3,789","2,473","2,996","1,007",913,"20,850"
"26,606","24,788","5,965","4,849","11,611","10,765","7,708","9,150","2,395","2,231","54,285"
