Year ended 31 December 2023,Column,Column,Column,Column,Column,Column
Opening net book amount,,"5,339,577","3,969,581","414,095","713,279","10,436,532"
Additions,,,,,,
Purchases,,"4,246","110,568","175,349","101,727","391,890"
,ROU Additions,-,-,"7,358",-,"7,358"
Impairment,,-,"(185,939)",(164),-,"(186,103)"
Depreciation charge,,"(116,003)","(390,038)","(190,302)",-,"(696,343)"
Transfers,,"112,070","222,863","97,669","(432,602)",-
Assets held for sale Cost,,"53,929",-,-,-,"53,929"
Assets held for sale Acc depreciation,,"(13,549)",-,-,-,"(13,549)"
Closing net book amount,,"5,380,270","3,727,035","504,005","382,404","9,993,714"
At 31 December 2023,,,,,,
Cost or valuation,,"6,938,403","10,118,516","1,749,743","382,404","19,189,066"
Accumulated depreciation,,"(1,558,133)","(6,391,481)","(1,245,738)",-,"(9,195,352)"
Net book amount,,"5,380,270","3,727,035","504,005","382,404","9,993,714"
