Item,Statutory requirement,CBA provision
Basic pay,"KShs 28,487","KShs 64,857"
Leave allowance,Minimum not provided,"KShs 28,000 per annum"
Housing allowance,Up to 15% of basic pay,"KShs 29,550"
Shift allowance,Minimum not provided,Up to 17% of basic pay
Redundancy,15 days for every year worked,4 days for every month worked
Meal allowance,Minimum not provided,Provided
Leave,"Annual leave: 21 days
Sick leave
· 30 days on full pay
· 15 days on half pay","Annual leave: 30 days
Sick leave:
· 3 months on full pay
· 3 months on half pay
· 3 months on 1/3 pay - in any given year"
Acting allowance,Minimum not provided,17% of basic pay
Responsibility allowance,,19% of basic pay
