Shareholding,No. of Shareholders,No. of Shares,% Shareholding
Less than 500,"2,615","630,165",0.63%
"501 - 5,000","2,231","3,604,719",3.60%
"5,001- 10,000",202,"1,459,971",1.46%
"10,001 - 100,000",251,"7,765,186",7.77%
"100,001 - 1,000,000",58,"14,395,597",14.40%
"Above 1,000,000",6,"72,144,362",72.14%
TOTALS,"5,363","100,000,000",100.00%
