Column,"Retained
earnings
Shs’000
1,668,918
3,723,691",Column,Column
"- - 57,961
- - (17,388)","57,961
(17,388)","-
-","-
-"
,"40,573
-
(350,000)
(3,350,000)","-
(2,900,000)
-
3,350,000",
,"(3,700,000)","450,000",
,"1,733,182","3,350,000",
,"1,733,182
4,255,314","3,350,000
-",
"- - (59,958)
- - 17,988","59,958
(17,988)","-
-","-
-"
,"41,970
-
(350,000)
(3,900,000)","-
(3,350,000)
-
3,900,000",
,"(4,250,000)","550,000",
,"1,780,466","3,900,000",
