Group - 31 December 2022,USD,GBP,EUR,AED
,KShs’ 000,KShs’ 000,KShs’ 000,KShs’ 000
Asset,,,,
Receivables and prepayments,"2,416,547","1,318","9,193","324,700"
Cash and cash equivalents,"969,924","4,634","35,676",-
,"3,386,471","5,952","44,869","324,700"
Liabilities,,,,
Payables and accrued expenses,"(687,339)","(17,787)","(61,125)",-
,"2,699,132","(11,833)","(16,256)","324,700"
