31 December 2018,USD,GBP,EUR
,KSh’000,KSh’000,KSh’000
Assets,,,
Receivables and prepayments,"587,298","26,396","392,020"
Cash and cash equivalents,"9,400","4,220",601
,"596,698","30,616","392,621"
Liabilities,,,
Payables and accrued expenses,"1,843,978","75,803","96,619"
Borrowings,"1,222,200",-,-
,"3,066,178","75,803","96,619"
