KSh’000,Column,KSh’000,Column,KSh’000,Column,Column
2018,2017,2018,2017,2018,2017,2018
"3,483","3,286",350,262,"2,500","2,500","6,333"
"1,881","1,775",325,288,-,-,"2,206"
"1,881","1,775",225,310,-,-,"2,106"
"1,881","1,775",175,185,-,-,"2,056"
887,"1,775",50,166,-,-,937
"1,881","1,775",175,191,-,-,"2,056"
"1,881","1,775",275,263,-,-,"2,156"
"13,775","13,936","1,575","1,665","2,500","2,500","17,850"
