Name,Meetings Attended,Meetings Eligible to Attend
Mr E. Mwaniki1 (Chairman),4,4
Mr G. Fagan2 (Managing Director),3,3
Mr C. Burrell3 (Managing Director),2,2
Mr P. Lopokoiyit (Finance Director),5,5
Mr A. N. Ngugi4,3,3
Mr G. R. May,5,5
Mr G. Maina,4,5
Ms C. Musyoka,5,5
Dr J. Ciano,4,5
Mr M. Janmohamed,4,5
Dr M. Oduor-Otieno5,3,3
Ms R. T. Ngobi (Company Secretary),5,5
