Stakeholder,Scope,Amount paid (KShs Billion),Column
,,2024,2023
Government,"Taxes paid being Excise Duty, Value Added Tax (VAT), Solatium,
Pay as You Earn (PAYE) and corporate tax.",18.7,19.4
Shareholders,Dividends (40% to minority shareholders).,5,5.7
Farmers,Payment for tobacco leaf purchases from farmers.,1.122,0.954
"Employee
(excludes reorganisation costs)",Employee salaries / wages and benefits.,1.9,2
"Product distributors and
traders",Payments to distributors and traders.,0.4,0.7
"Local and
International suppliers",Payments for various goods and services.,10.8,15.9
