"Gross
earnings
including
pension
contribution",Annual bonus,Directors fees,"Sitting
allowances",Benefits*,Total
KShs'000,KShs'000,KShs'000,KShs'000,KShs'000,KShs'000
-,-,-,-,-,-
"17,492","3,525",-,-,"24,631","45,648"
"7,801","1,205",-,-,"6,315","15,321"
"5,643","1,071",-,-,-,"6,714"
"12,920","3,788",-,-,"3,091","19,799"
-,-,-,-,-,-
-,-,"1,600",900,-,"2,500"
-,-,"1,600","1,100",-,"2,700"
-,-,-,-,-,-
-,-,"1,600","1,300",-,"2,900"
"43,856","9,589","4,800","3,300","34,037","95,582"
"43,856","9,589","4,800","3,300",-,"61,545"
-,-,-,-,"34,037","34,037"
"43,856","9,589","4,800","3,300","34,037","95,582"
