Column,Column,Column,KShs’000,KShs’000,KShs’000,KShs’000,KShs’000,KShs’000
Olagoke Aluko,"Chairman, appointed on 22
December 2021, resigned as
Managing Director on 16 August
2021",Non-executive,"17,844","4,683",-,-,"10,235","32,762"
Eric Fanchini,"Managing Director, appointed on 16
August 2021",Executive,"10,739",-,-,-,"5,437","16,176"
Lawrencia Gichatha,Finance Manager,Executive,"14,667","1,033",-,-,99,"15,799"
John Muchunu,"Strategy and Corporate Affairs
Director",Executive,"17,571","1,104",-,-,95,"18,770"
Jean- Phillipe Torres,"Appointed on 2 December 2021
Resigned as Chairman on 21
September 2021",Non-executive,-,-,-,-,-,-
Stanislas Mittelman,Resigned on 10 November 2021,Non-executive,-,-,-,-,-,-
Ms Severine Julien,,Non-executive,-,-,-,-,-,-
Joseph Karago,,Non-executive,-,-,"1,600","1,500",-,"3,100"
Margaret W.N. Shava,,Non-executive,-,-,"1,600","1,500",-,"3,100"
Maurice K’Anjejo,,Non-executive,-,-,"1,600",700,-,"2,300"
"Paul-Henri Assier de
Pompignan",,Non-executive,-,-,-,-,-,-
Totals,,,"60,821","6,820","4,800","3,700","15,866","92,007"
Summary,,,,,,,,
Cash emoluments,,,"60,821","6,820","4,800","3,700",-,"76,141"
Non-cash emoluments,,,-,-,-,-,"15,866","15,866"
Totals,,,"60,821","6,820","4,800","3,700","15,866","92,007"
