Notes,2009,2008
,"41,311,598
(8,634,405)",
,"32,677,193
(29,868,162)",
,"2,809,031",
,"283,285
(1,387,542)
(526,386)
(48,826)
(324,196)
(40,264)
(31,403)",
,"733,699",
,"(251,114)",
,"482,585",
,"KES 1.62
KES 1.00",
