21. ASSETS CLASSIFIED AS HELD FOR SALE,Column,Column
"As of December 31,","2011
Kshs’000","2010
Kshs’000"
"Property, plant and equipment
Prepaid operating leases","46,576
4,844","132,068
10,245"
,"51,420","142,313"
"The company intends to dispose off some stations and other facilities in the next 12 months. These are still being
used for the company’s operations awaiting conclusion of transfer of titles. Buyers have already been identified
and sale and purchase agreements signed between the company and the buyers.
No impairment loss was recognized on reclassification of the assets from property, plant and equipment and
prepaid operating leases to assets classified as held for sale as at 31 December 2011 as the expected proceeds
on disposal exceed the net carrying amounts of the assets.
22. SHARE CAPITAL",,
"As of December 31,","2011
Kshs’000","2010
Kshs’000"
"Authorised ordinary shares
KShs 5 each
Authorised redeemable preference shares
KShs 31.58 each","181,630
123,478","181,630
123,478"
"Issued ordinary share capital
Issued redeemable preference share capital","875,324
3,899,447","875,324
3,899,447"
,"4,774,771","4,774,771"
"Issued capital comprises:
175,064,706 fully paid ordinary shares
(2010: 175,064,706)
123,478, 388 fully paid redeemable preference shares
(2010: 123,478,388)","875,324
3,899,447","875,324
3,899,447"
,"4,774,771","4,774,771"
