Jean-Christian Bergeron*,(Non-executive),Chairman – Appointed on 15 September 2015
Jonathan Molapo**,(Non-executive),Chairman - Resigned on 15 September 2015
Anne-Solange Renouard*,(Executive),"Managing Director – Appointed on 1 November 2015
(Alternate to Jean-Christian Bergeron as Chairman)"
Ada Eze***,(Executive),Managing Director - Resigned on 1 November 2015
Alice Mayaka,(Non-executive),
Aurore Delarue*,(Non-executive),
Momar Nguer*,(Non-executive),
Premanand Dhoomon****,(Executive),"Finance Director – Appointed on 1 November 2015
(Alternate to Anne-Solange Renouard)"
Patrick Waechter*,(Executive),Finance Director – Resigned on 11 June 2015
Maurice K’Anjejo,(Executive),(Alternate to Momar Nguer and Aurore Delarue)
