14. GOODWILL,Column,Column
,"2010
Kshs’000","2009
Kshs’000"
"Cost
Balance at beginning of year
Additional amounts recognized from business
combination (note 28(iv))
Transfers to property, plant and equipment
Balance at end of year
Accumulated impairment losses
Balance at beginning and end of year","6,508,851
-
(5,979,972 )
528,879
(112,200 )","448,804
6,060,047
-
6,508,851
(112,200 )"
,"416,679","6,396,651"
"(a) Goodwill arising from acquisition of Elf Oil Kenya Limited
Cost
Accumulated impairment losses","448,804
(112,200 )","448,804
(112,200 )"
,"336,604","336,604"
"Goodwill amounting to Kshs 448,804,000 arose from the acquisition of a subsidiary, Elf Oil Kenya Limited, in March 2001. With
effect from 1 January 2005, the operations of Elf Oil Kenya Limited were merged with those of Total Kenya Limited and this was
achieved through a business sale agreement which resulted in the transfer of all Elf Oil Kenya Limited business, assets and liabilities
to Total Kenya Limited.
Allocation of goodwill to cash-generating units
Goodwill has been allocated for impairment testing purposes to two cash generating units as follows:
• Network service station operations – cash flows and profits from acquired stations
• Rental fees income generation – fees paid by dealers operating acquired stations
Both units continue to generate positive cash flows and goodwill has been globally allocated to both. The recoverable amount of
the cash generating units is based on value in use calculation which uses cash flow projections based on annual network business
financial budgets and a long term business plan approved by management covering a ten year period.
The cash flows from the cash generating units are based on expected return on capital invested at between 10% to 25% and a
stable market share. Management is of the opinion that any possible reasonable change in these assumptions would not cause the
global carrying amount to exceed the recoverable amount.
At 31 December 2010, no impairment loss was assessed (2009: nil).",,
