Column,Land,Buildings,"Property, plant
and machinery","Furniture,
fittings and
equipment","Capital
work-in-
progress*",Total
,KShs’000,KShs’000,KShs’000,KShs’000,KShs’000,KShs’000
COST,,,,,,
At 1 January 2023,"223,124","7,353,232","20,489,856","855,199","134,603","29,056,014"
Additions,-,"262,117","1,291,565","63,371","587,374","2,204,427"
Transfers*,-,"1,185","100,869","25,161","(127,215)",-
"Reclassification from assets held for
sale**",-,"9,762","87,850",481,-,"98,093"
Disposals,-,"(4,666)","(45,284)",(741),--,"(50,691)"
At 31 December 2023,"223,124","7,621,630","21,924,856","943,471","594,762","31,307,843"
DEPRECIATION,,,,,,
At 1 January 2023,-,"3,690,956","12,902,722","729,881",-,"17,323,559"
Charge for the year,-,"349,650","1,346,278","67,345",-,"1,763,273"
"Reclassification from assets held for
sale",-,"1,805","73,483",480,-,"75,768"
Disposals,-,"(4,608)","(42,736)",(741),-,"(48,085)"
At 31 December 2023,-,"4,037,803","14,279,747","796,965",-,"19,114,515"
"129
NET CARRYING AMOUNT",,,,,,
At 31 December 2023,"223,124","3,583,827","7,645,109","146,506","594,762","12,193,328"
