"MATERIALITY
PROCESS STEPS",DESCRIPTION,KEY INPUTS
Identify,"To identify the material issues, an initial desktop study of corporate documents and
relevant global sustainability reports was undertaken, followed by meetings with key
stakeholders. Sources of information at the ‘identify’ step are summarized in key inputs.","•• Company strategy
•• Emerging risks
•• Internal stakeholder interviews
•• External Stakeholder interviews
•• National and global reports"
Prioritize,"Identified issues were prioritized using defined threshold criteria based on Global Reporting
Initiative (GRI) materiality principles.
A clear description of the issues, including their boundaries and impacts, was defined and
included in our materiality survey.
The survey was sent to all internal and external stakeholders identified as part of the
materiality process providing an opportunity to rank issues from greatest to least concern.","Internal
•• Survey employees on key issues
•• Company strategy, policies and commitments
External
•• Survey stakeholders on key issues
•• Sustainability Champions’ input
•• Peer benchmarking
•• Media analysis"
Validate,"Our top material issues, as identified in the ‘prioritize’ step, were validated by the
management’s Executive Committee",•• Committee meetings
Review,"Each year we will review the Sustainability Report and material issues with our internal and
external stakeholders, and identify how our performance can be improved.",•• Benchmarking report
