EUR,USD,Total
KShs’000,KShs’000,KShs’000
-,"295,039","295,039"
-,"1,449,598","1,449,598"
"308,761","1,635,697","1,944,458"
"308,761","3,380,334","3,689,095"
"(631,920)","(1,485,913)","(2,117,833)"
"(646,500)","(1,353,370)","(1,999,870)"
"(1,278,420)","(2,839,283)","(4,117,703)"
"(969,659)","541,051","(428,608)"
-,"844,260","844,260"
-,"1,494,073","1,494,073"
"112,833","583,011","695,844"
"112,833","2,921,344","3,034,177"
