4. COST OF SALES,Column,Column
"For the year ended December 31,","2011
Kshs’000","2010
Kshs’000"
"Product purchases
Other variable costs
Total cost of sales","83,467,587
4,393,110
87,860,697","54,955,273
4,089,232
59,044,505"
"5. OTHER INCOME
Rents and commissions
Profit on disposal of property, plant and equipment
Throughput fees and other income
Bad debt recoveries
Total other income","222,444
201,447
224,469
31,681
680,041","126,700
255,381
144,652
40,950
567,683"
"6. OTHER OPERATING EXPENSES
Directors’ emoluments – fees
– other emoluments
Payroll and staff (Note 8)
Depreciation
Amortisation of prepaid operating leases
Amortisation of intangible assets
Repairs and maintenance
Technical assistance (Note 28(ii))
Utilities
Operating lease rentals
Other expenses
Legal and other professional fees
Advertising and promotion
Impairment on receivables
Travelling and reception
Insurance
Auditor’s emoluments
Total operating expenses","1,600
41,158
1,084,102
960,743
79,490
17,325
481,245
309,960
163,998
193,281
186,867
109,125
105,871
83,875
80,301
58,167
6,896
3,962,404","1,600
43,385
1,040,255
774,431
66,162
135,751
347,111
258,380
183,325
197,857
120,621
114,592
70,043
61,140
80,161
39,134
6,695
3,540,643"
"7. (a) FINANCE INCOME
Interest income
(b) FINANCE COSTS
Interest on borrowings
(c) EXCHANGE GAIN/(LOSS)","544
1,592,320
257,637","23,267
976,913
(2,326 )"
