"The major business of the Company is the sale of petroleum products, with other income comprising less than 5% of the total income. Net
sales by business channel are shown below: -
(i) Business channels",Column,Column
,2024,2023
,KShs’000,KShs’000
General trade,"33,498,009","33,234,789"
Network,"70,218,312","77,248,293"
Aviation,"3,963,437","2,154,773"
Export and bulk,"6,533,157","8,080,545"
Total net sales,"114,212,915","120,718,400"
(ii) Geographical analysis,,
Local sales,"107,679,758","112,637,855"
Export sales,"6,533,157","8,080,545"
Total net sales,"114,212,915","120,718,400"
All revenue is recognized at a point in time.,,
4. COST OF SALES,,
Product purchases,"98,698,081","101,283,745"
Other variable costs*,"6,521,108","6,598,972"
,"105,219,189","107,882,717"
"*Other variable costs majorly include primary and secondary fuel transport costs
5. OTHER INCOME",,
,2024,2023
,KShs’000,KShs’000
"Rental income 1,262,601 1,218,774
Commission income 165,425 166,514
Interest from government securities 1,359,355 557,118
Sundry income* 9,455 128,810
2,796,836 2,071,216
*Sundry income mainly includes gain on disposal of assets as per the Company’s policy","1,262,601","1,218,774"
,"165,425","166,514"
,"1,359,355","557,118"
,"9,455","128,810"
,"2,796,836","2,071,216"
