Land and buildings,"Property, plant and
machinery","Furniture, fittings
and equipment","Capital work-in-
progress*",Total
KShs’000,KShs’000,KShs’000,KShs’000,KShs’000
"5,379,022","16,534,064","895,420","580,570","23,389,076"
"707,205","439,497","15,193","785,915","1,947,810"
"211,351","311,081","33,998","(556,430)",-
"(2,700)","(43,742)","(2,365)",-,"(48,807)"
"6,294,878","17,240,900","942,246","810,055","25,288,079"
"2,404,516","9,881,386","762,162",-,"13,048,064"
"311,303","1,082,167","63,294",-,"1,456,764"
(654),"(41,344)","(1,926)",-,"(43,924)"
"2,715,165","10,922,209","823,530",-,"14,460,904"
"3,579,713","6,318,691","118,716","810,055","10,827,175"
