Description of asset/liability,Classification
"Trade and other receivables and amounts due
from related companies [Notes 18 & 19 (i)]",Loans and receivables
"Cash and cash equivalents - Cash and bank
balances [Note 25 (ii)]",Loans and receivables
Short term borrowings (Note 24),Loans and borrowings
"Trade and other payables and amounts due to
related companies and amounts due to holding
company [Notes 23, 19 (ii) & 19 (iii)]",Loans and borrowings
