Column,KShs’000,KShs’000
Issued ordinary share capital,"875,324","875,324"
Issued redeemable preference share capital,"9,099,447","9,099,447"
,"9,974,771","9,974,771"
Issued capital comprises:,,
"175,064,706 fully paid ordinary shares of KShs 5 each","875,324","875,324"
"123,478,388 fully paid redeemable preference shares of KShs 31.58 each","3,899,447","3,899,447"
"330,999,364 fully paid redeemable preference shares of KShs 15.71 each","5,200,000","5,200,000"
,"9,974,771","9,974,771"
