CSI Pillars,Institution,Details,Amount (Kshs)
Biodiversity,Mau Forest tree-planting,"Planting of 20,000 trees at Mau Forest Block 77,
through the facilitation of Miti Hewa consultancy.","4,956,502"
,"Friends of Karura Forest
Association Karura Forest
tree planting","Planting of 1,500 trees at Karura Forest,
Phase 3 to plant 4500 trees at the forest.","675,000"
,"Majoreni mangrove
tree planting","Planted 7,000 trees at Majoreni, Kwale County in
conjunction with the local community under the
Eco Challenge program.","893,000"
,"Kiambu Township Primary -
Tree planting","Planted 1,500 seedlings at Kiambu Township
Primary School in Kiambu Town.","388,500"
,"World Environment Day (WED)
Tree planting","In conjunction with UNEP, participated in a
tree-planting exercise to mark WED at Muthaiga
Golf Club.","42,000"
,"Rhino Ark Charitable
Trust-Rhino Charge 2023","Fuel sponsorship of the Rhino Charge 2023, an
offroad driving challenge organized to raise funds
to support the activities of the Rhino Ark Charity
Trust, an NGO which works towards the
conservation and protection of Kenya’s
mountain ecosystems, the Water Towers.","1,211,477"
"Youth Inclusion and
Education","Africa Extreme- Naro Moru
Cycling Challenge","Support towards the Naro Moru Cycling Challenge
aimed at raising funds for Safari Simbaz Trust that
uses cycling to support children and youth from
disadvantaged backgrounds.","500,000"
,Rugby Clinics,"Held rugby clinics at 3 public schools, to inspire
the young players at the schools, namely Jamhuri
High, Ofafa Jericho and Upper Hill. This was part
of our local activation of the Rugby World Cup 2023
sponsorship.","715,712"
Health,"Standard Chartered Marathon
2023","Donated funds to the 2023 Standard Chartered
Marathon in Nairobi, Mombasa & Kisumu. One of
the objectives of the marathon is to raise funds
for a charity called Future Makers.","318,000"
,,TOTAL,"12,880,926"
