Column,KShs’000,KShs’000
Balance at 1 January,"(229,735)","(36,748)"
Charge to profit or loss,"(1,370,346)","(1,339,532)"
Payments during the year,"1,293,468","1,146,545"
Balance at 31 December,"(306,613)","(229,735)"
