GRI STANDARD,"GRI
DISCLOSURE
No.",DISCLOSURE TITLE,LOCATION/PAGE NO.,MAPPED TO SDGs
Material topics,,,,
GRI Sector Standards - GRI 11: Oil and Gas Sector 2021,,,,
"GRI 3: Material Topics
2021",3-1,Process to determine material topics,39-41,
,3-2,List of material topics,40-41,
,3-3,Management of material topics,40,
Topic 11.21 Payments to Governments,,,,
"GRI 201: Economic
Performance 2016",201-1,Direct economic value generated and distributed,48,
Topic 11.20 Anti-corruption,,,,
"GRI 205: Anti-
corruption 2016",205-1,Operations assessed for risks related to corruption,48,
,205-2,"Communication and training about anti-corruption policies and
procedures",48,
Topic 11.19 Anti-competitive behaviour,,,,
"GRI 206: Anti-
competitive Behavior
2016",206-1,"Legal actions for anti-competitive behavior, anti-trust, and
monopoly practices",48,
Topic 11.15 Local communities,,,,
"GRI 413: Local
Communities 2016",413-1,"Operations with local community engagement, impact
assessments, and development programs",48-50,
Topic 11.11 Non-discrimination and equal opportunity,,,,
"GRI 406: Non-
discrimination 2016",406-1,Incidents of discrimination and corrective actions taken,47-48,
Diversity and equal opportunity,,,,
"GRI 405: Diversity and
Equal Opportunity
2016",405-1,Diversity of governance bodies and employees,48,
Topic 11.10 Employment Practices,,,,
"GRI 401: Employment
2016",401-1,New employee hires,47,
,401-3,Parental leave,47,
