Name of Director,"Eligible No. of Board
meetings","No. of Board meetings
attended",Overall % attendance
Chairperson,,,
Olagoke Aluko (Resigned on 23rd August 2024),3,3,100%
Elodie Luce (Appointed on 23rd August 2024),1,1,100%
Executive Director – Managing Director,,,
Eric Fanchini (Resigned on 31st August 2024),3,3,100%
Thibault Flichy (Appointed on 1st September 2024),1,1,100%
Non- Executive Directors,,,
Jean-Philippe Torres (Alternate to Elodie Luce),4,-,-
Guillaume Navez (Resigned on 28th November 2024),4,4,100%
Fernanda Schröder (Appointed on 28th November 2024),-,-,-
Independent Directors,,,
Joseph Karago,4,4,100%
Maurice Odhiambo K’Anjejo,4,4,100%
Catherine Musakali,4,4,100%
Alternate Directors,,,
"Lawrencia Gichatha (Alternate Director to Thibault Flichy and
Fernanda Schröder)",4,4,100%
Adele Tura (Alternate to Jean-Philippe Torres),4,4,100%
Company Secretary,,,
John Maonga,4,4,100%
