Stakeholder,Why we engage,Engagement Channels,Frequency
Customers,"• Customer satisfaction
• Customer experience and engagement
• Quality products, services, and solutions","• Social Media
• Customer Satisfaction surveys
• Customer service week
• Customer events
• Emails
• In-person engagement
• Complaint handling mechanism",Daily
"Service providers (suppliers,
contractors, transporters)","• Active player in local economy
• Communication Policies on health and safety,
human rights, and anti-corruption
• Promote sustainable and responsible
sourcing practices","• Seminars & workshops
• Audits
• Supplier evaluations
• Questionnaires & surveys
• Supplier code of conduct
• Emails
• On-boarding program
• Dealers conference",Regularly
Employees,"• Job security
• Equitable compensation and
comprehensive benefits
• Safe working conditions
• Develop skillsets
• Employee engagement and development","• Emails
• Questionnaires
• Employee satisfaction survey
• E mployee grievance handling procedures
• Internal platforms
• Performance appraisals
• R egular dialogue sessions and forums with
senior management
• Capacity building and development",Daily
Government and Regulators,"• Compliance with all relevant laws and regulations
• Thought leadership and innovation
• Partnerships and associations
• Maintaining confidence in our
management capacity and performance
• Sustainable relationships
• Management of stakeholders’ concerns regarding:
HSE impacts
Traffic nuisances
Other nuisances","• Emails
• Reports
• Legal forums
• Compliance and Statutory reporting
• One-on-one engagements
• Courtesy call meetings
• S cheduled meetings through our
membership associations",Regularly
"Neighboring communities
(depots, industrial areas, civil
societies, and business partners)","• Road safety
• Economic empowerment
• Local employment
• Environmental Stewardship
• Community development
wand outreach","• Sponsorships & partnerships
• Community engagement events
• Seminars
• Social media
• CSR donations
• Publication of articles in industry
magazines",Regularly
Board directors,"• Strategic planning
• Financial performance and reporting
• Risk management and mitigation strategies
• Compliance with legal and regulatory requirements
• Board governance and oversight of management
• Growth in revenue and profitability","• Annual general meetings (Shareholders
and CMA)
• Financial reports/CSR reports
• Company Registrar – Dividend payments,
shares registrar etc)
• Notices, emails, and presentations
• Website updates
• Engagements events",Quarterly
