COST,KShs’000,KShs’000,KShs’000,KShs’000,KShs’000,KShs’000
At 1 January 2020,"183,124","6,111,754","17,240,900","942,246","810,055","25,288,079"
Additions,"40,000","239,383","564,046","11,427","837,152","1,692,008"
Transfers,-,"353,476","430,771","1,077","(785,324)",-
Disposals,-,"(4,577)","(37,575)","7,225)",-,"(49,407)"
At 31 December 2020,"223,124","6,700,036","18,198,142","947,495","861,883","26,930,680"
DEPRECIATION,,,,,,
At 1 January 2020,-,"2,715,165","10,922,209","823,530",-,"14,460,904"
Charge for the year,-,"384,068","1,043,102","66,040",-,"1,493,210"
Disposals,-,"(1,582)","(37,540","(7,250)",-,"(46,372)"
At 31 December 2020,-,"3,097,651","11,927,771","882,320",-,"15,907,742"
NET CARRYING AMOUNT,,,,,,
At 31 December 2020,"223,124","3,602,385","6,270,371","65,175","861,883","11,022,938"
